reach_id,guidebook_id,page,run,url
5506,10,,,https://www.oregonkayaking.net/creeks/upper_t/upper_t.html
5506,11,,,https://www.dreamflows.com/xlist-or.php#Site720
5507,2,291,,
5507,3,362,,
5507,4,372,,
5507,10,,,https://www.oregonkayaking.net/rivers/nfalsea/nfalsea.html
5508,2,120,77,
5508,3,153,84,
5508,4,163,89,
5508,7,213,49.2,
5508,9,55,,
5508,11,,,https://www.dreamflows.com/xlist-or.php#Site293
5509,2,"149,150","104,105",
5509,3,186,110,
5509,7,296,68,
5509,9,66,,
5509,11,,,https://www.dreamflows.com/xlist-or.php#Site606
5510,11,,,https://www.dreamflows.com/xlist-or.php#Site230
5511,10,,,https://www.oregonkayaking.net/rivers/sf_clack/sf_clack.html
5512,2,248,184,
5512,3,316,200,
5512,7,165,37.1,
5512,11,,,https://www.dreamflows.com/xlist-or.php#Site249
5513,10,,,https://www.oregonkayaking.net/rivers/nf_clack/nf_clack.html
5513,11,,,https://www.dreamflows.com/xlist-or.php#Site808
5514,2,164,118,
5514,4,385,,
5514,10,,,https://www.oregonkayaking.net/rivers/nfmollala/nfmollala.html
5516,2,163,117,
5516,3,205,123,
5516,4,212,122,
5516,7,30,5,
5516,11,,,https://www.dreamflows.com/xlist-or.php#Site716
5518,7,71,15,
5518,10,,,https://www.oregonkayaking.net/rivers/gem/gem.html
5518,11,,,https://www.dreamflows.com/xlist-or.php#Site209
5520,10,,,https://www.oregonkayaking.net/creeks/lcedar/lcedar.html
5521,10,,,https://www.oregonkayaking.net/creeks/elkhorn/elkhorn.html
5522,2,261,193,
5522,4,350,205,
5522,7,124,28,
5522,11,,250,https://www.dreamflows.com/reachMap/index.php?rid=250&num=1
5524,11,,,https://www.dreamflows.com/xlist-or.php#Site208
5525,10,,,https://www.oregonkayaking.net/rivers/whitelower/whitelower.html
5525,11,,,https://www.dreamflows.com/xlist-or.php#Site204
5526,10,,,https://www.oregonkayaking.net/rivers/upper_efhood/upper_efhood.html
5527,2,162,116,
5527,3,204,122,
5527,4,209,121,
5528,10,,,https://www.oregonkayaking.net/rivers/nf_siletz/nf_siletz.html
5530,2,186,136,
5530,3,238,146,
5530,4,245,145,
5530,7,281,65,
5531,2,141,98,
5531,3,180,105,
5531,4,183,104,
5531,11,,,https://www.dreamflows.com/xlist-or.php#Site720
5532,10,,,https://www.oregonkayaking.net/creeks/rockore/rockore.html
5533,11,,,https://www.dreamflows.com/xlist-or.php#Site267
5533,12,,,https://mthoodh2o.blogspot.com/2014/10/beaver.html
5534,7,213,49.1,
5534,10,,,https://www.oregonkayaking.net/rivers/mac_head/mac_head.html
5534,11,,,https://www.dreamflows.com/xlist-or.php#Site704
5537,10,,,https://www.oregonkayaking.net/rivers/little/little.html
