id,reach_id,level,low,low_data_type,high,high_data_type
1241,5549,low,,,3000.0,flow
1242,5549,okay,3000.0,flow,8000.0,flow
1243,5549,high,8000.0,flow,,
1244,5550,low,,,500.0,flow
1245,5550,okay,500.0,flow,9000.0,flow
1246,5550,high,9000.0,flow,,
1247,5551,low,,,400.0,flow
1248,5551,okay,400.0,flow,850.0,flow
1249,5551,high,850.0,flow,,
1250,5552,low,,,200.0,flow
1251,5552,okay,200.0,flow,1500.0,flow
1252,5552,high,1500.0,flow,,
1253,5553,low,,,600.0,flow
1254,5553,okay,600.0,flow,3000.0,flow
1255,5553,high,3000.0,flow,,
1256,5556,low,,,4000.0,flow
1257,5556,okay,4000.0,flow,10000.0,flow
1258,5556,high,10000.0,flow,,
1259,5557,low,,,600.0,flow
1260,5557,okay,600.0,flow,5000.0,flow
1261,5557,high,5000.0,flow,,
1262,5558,low,,,600.0,flow
1263,5558,okay,600.0,flow,6000.0,flow
1264,5558,high,6000.0,flow,,
1265,5560,low,,,1000.0,flow
1266,5560,okay,1000.0,flow,4500.0,flow
1267,5560,high,4500.0,flow,,
1274,5566,low,,,1000.0,flow
1275,5566,okay,1000.0,flow,2500.0,flow
1276,5566,high,2500.0,flow,,
1277,5567,low,,,1000.0,flow
1278,5567,okay,1000.0,flow,3000.0,flow
1279,5567,high,3000.0,flow,,
1280,5570,low,,,4000.0,flow
1281,5570,okay,4000.0,flow,10000.0,flow
1282,5570,high,10000.0,flow,,
1283,5571,low,,,400.0,flow
1284,5571,okay,400.0,flow,7000.0,flow
1285,5571,high,7000.0,flow,,
1286,5572,low,,,2000.0,flow
1287,5572,okay,2000.0,flow,7000.0,flow
1288,5572,high,7000.0,flow,,
1289,5574,low,,,1000.0,flow
1290,5574,okay,1000.0,flow,2000.0,flow
1291,5574,high,2000.0,flow,,
1292,5576,low,,,1000.0,flow
1293,5576,okay,1000.0,flow,6000.0,flow
1294,5576,high,6000.0,flow,,
1298,5579,low,,,500.0,flow
1299,5579,okay,500.0,flow,2500.0,flow
1300,5579,high,2500.0,flow,,
1301,5582,low,,,500.0,flow
1302,5582,okay,500.0,flow,2500.0,flow
1303,5582,high,2500.0,flow,,
1304,5620,low,,,250.0,flow
1305,5620,okay,250.0,flow,1500.0,flow
1306,5620,high,1500.0,flow,,
1310,5634,low,,,1000.0,flow
1311,5634,okay,1000.0,flow,3000.0,flow
1312,5634,high,3000.0,flow,,
1322,5675,low,,,400.0,flow
1323,5675,okay,400.0,flow,6000.0,flow
1324,5675,high,6000.0,flow,,
1325,5676,low,,,900.0,flow
1326,5676,okay,900.0,flow,5000.0,flow
1327,5676,high,5000.0,flow,,
1334,5682,low,,,400.0,flow
1335,5682,okay,400.0,flow,2800.0,flow
1336,5682,high,2800.0,flow,,
1337,5684,low,,,400.0,flow
1338,5684,okay,400.0,flow,2000.0,flow
1339,5684,high,2000.0,flow,,
1340,5687,low,,,700.0,flow
1341,5687,okay,700.0,flow,2000.0,flow
1342,5687,high,2000.0,flow,,
1343,5688,low,,,900.0,flow
1344,5688,okay,900.0,flow,3000.0,flow
1345,5688,high,3000.0,flow,,
1346,5692,low,,,700.0,flow
1347,5692,okay,700.0,flow,2000.0,flow
1348,5692,high,2000.0,flow,,
1349,5693,low,,,400.0,flow
1350,5693,okay,400.0,flow,800.0,flow
1351,5693,high,800.0,flow,,
1352,5698,low,,,700.0,flow
1353,5698,okay,700.0,flow,3000.0,flow
1354,5698,high,3000.0,flow,,
1355,5699,low,,,300.0,flow
1356,5699,okay,300.0,flow,3000.0,flow
1357,5699,high,3000.0,flow,,
1358,5708,low,,,700.0,flow
1359,5708,okay,700.0,flow,2000.0,flow
1360,5708,high,2000.0,flow,,
1361,5709,low,,,1500.0,flow
1362,5709,okay,1500.0,flow,4000.0,flow
1363,5709,high,4000.0,flow,,
1364,5712,low,,,1000.0,flow
1365,5712,okay,1000.0,flow,3000.0,flow
