id,updated_at,gauge_id,name,display_name,sort_name,nature,description,difficulties,basin,basin_area,elevation,elevation_lost,length,gradient,features,latitude,longitude,latitude_start,longitude_start,latitude_end,longitude_end,map_name,no_show,notes,optimal_flow,region,remoteness,scenery,season,watershed_type,aw_id,river,max_gradient,huc,map_only
567,,226,RUNO,Bull Run,Bull Run e 0,Pool Drop,,,Sandy,107.0,567.9,326.2,10.04,32.5,,45.4373,-122.179,45.425079748683316,-122.21681793063176,45.49137207420514,-122.30736623388944,BullRun,0,,900.0,Lower Willamette,Somewhat Remote,canyon,Jan-Dec,,1488,,,,0
568,,227,BMFO,Bull Run,Bull Run d 0,,,,,47.9,1080.0,,,,,45.4982,-122.012,45.582413,-121.852415,45.636576,-121.919957,,0,,,,,,,,,,,,0
664,,255,14219000,Canyon Creek,Canyon 1,,,,,64.1,520.0,,,,,45.9398,-122.317,46.0083,-122.1968,45.9709,-122.2581,,0,,,,,,,,,,,,0
791,,304,14400000,Chetco,Chetco ag 03,Pool Drop,Upper Summer Bridge to Loeb,,Chetco,271.0,50.0,75.30000305175781,8.8,8.600000381469727,Redwoods.crystal clear water,42.1234,-124.187,42.186117,-124.134586,42.112125,-124.185131,Chetco,0,,500.0,Southern Coast,Not Remote,forest/logging,Jan-Dec,,,Chetco,,1710,0
821,,316,14231900,Cispus River,Cispus 0,,,,,250.0,1260.0,,,,,46.4437,-121.842,46.307998657227,-121.79499816894,46.392200469971,-121.827003479,,0,,,,,,,,,,,,0
828,,320,ESTO,Clackamas,Clackamas 08 River Mill to Willamette,Continous,River Mill Dam to Willamette,,Willamette,671.0,286.93,299.0,22.4,13.3,great canoe run,45.2998,-122.354,45.299594409737246,-122.35160443262798,45.372452,-122.604332,Clackamas.lower,0,,1000.0,Lower Willamette,Not Remote,residential,Jan-Dec,,1495,Clackamas,,,0
1035,,401,POWO,SF Coquille,Coquille cd 06,Continous,Powers to Baker Creek,,,,197.0,111.1,6.07,18.3,,42.9,-124.07,42.86791375829108,-124.05489766606667,42.906999771729346,-124.1114327667646,Coquille.SFk,0,,600.0,Southern Coast,Not Remote,rural,Nov-Apr,,1500,SF Coquille,,,0
1086,,416,14309220,Cow Creek,Cow ah 03,Pool Drop,Glenbrook Loop to Lawson Bar,I,Umpqua,,684.1,53.3,6.5,8.2,,,,42.9246041583997,-123.42195242129446,42.950855355506114,-123.33677948756018,,0,,300.0,Southern Oregon,Not Remote,rural,Nov-Apr,,,Cow Creek,,,0
1088,,419,PACW,Cowlitz River,Cowlitz ac 0,,,,,287.0,1048.0,,,,,46.6129,-121.679,46.668899536133,-121.5059967041,46.674900054932,-121.58799743652,,0,,,,,,,,,,,,0
1089,,420,CORW,Cowlitz River,Cowlitz aa 0,,,,,541.0,880.0,,,,,46.5323,-121.957,,,,,,0,,,,,,,,,,,,0
1092,,423,MAYW,Cowlitz River,Cowlitz ab 0,,,,,1400.0,226.6,64.0,7.5,8.5,,46.5104,-122.616,46.515662,-122.638418,46.483468,-122.730328,,0,,,,,,,,3481,,,,0
1107,,2112,Crabtree aa,Crabtree,Crabtree Creek ag 03,Continous,Larwood Bridge to S Santiam,,Santiam,,,195.89999389648438,18.2,10.800000190734863,covered bridge,,,44.630263,-122.740698,44.675447,-122.957954,CrabtreeCr,0,,600.0,Middle Willamette,Not Very Remote,rural/wooded,Nov-Apr,,1502,Crabtree,,,0
1125,,436,CKKO,Crooked,Crooked 02,Pool Drop,Ranch to Billy Chinook,Portage,Deschutes,,2750.0,248.4,9.95,25.0,3mi lake spiral basalts,44.37,-121.12,44.42688823401111,-121.23261040059532,44.529002969526445,-121.26468931530447,Crooked.lower,0,,2000.0,Central Oregon,Very Remote,desert gorge,Jan-Dec,,3759,Crooked,,,0
1130,,437,CRSO,Crooked,Crooked 01,Pool Drop,Lone Pine to Ranch,,Deschutes,,,569.3,16.48,34.5,,,,44.34893656061567,-121.08206571466025,44.42688823401111,-121.23261040059532,,0,,1000.0,Central Oregon,Very Remote,desert gorge,Nov-Apr,,1503,Crooked,,,0
1201,,461,Deer,Deer Creek,Deer,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
1220,,469,Deschutes 12,Deschutes,Deschutes 12 Lower Bridge to Billy Chinook,,Lower Bridge to Billy Chinook,,Deschutes,2705.0,1980.0,583.0,15.6,37.4,,44.4987,-121.321,44.359610340615035,-121.29481765952987,44.52506932022219,-121.29891012578275,,0,,,,,,,,4346,Deschutes,,,0
1285,,491,DONO,Donner und Blitzen,Donner und Blitzen 0,,,,,200.0,4260.0,829.0,17.2,48.2,,42.7908,-118.868,42.6384,-118.764,42.8013,-118.867,DonnerUndBlitzen,0,,,,,,,,,,,,0
1305,,493,Drift aa,Drift Creek,Drift 0,Continous,Meadow Creek to 3 mi above mouth,,Alsea,,,376.8999938964844,16.3,23.100000381469727,remote. old growth,,,44.498749,-123.883454,44.424948,-123.998347,DriftCr.Alsea,0,,700.0,North Coast,Very Remote,wilderness,Nov-Apr,,1508,Drift Creek (Alsea),,1710,0
1306,,494,Drift,Drift Creek,Drift,Pool Drop,North Creek to Covered Bridge,"Technical,Portage",Siletz,,,267.0,9.1,29.299999237060547,wild,,,44.898463,-123.907806,44.916632,-123.981181,DriftCr.Siletz,0,,400.0,North Coast,Very Remote,wilderness/farm,Nov-Apr,,5782,Drift Creek (Siletz),,1710,0
1407,,542,ELKO,Elk Creek,Elk ab 0,,,,Rogue,129.0,1493.91,271.0,8.3,32.7,,42.6787,-122.742,42.7495,-122.7,42.6623,-122.755,,0,,,Southern Oregon Coast,,,,,5426,,,,0
1486,2026-04-18 00:29:01,2115,FCLO,Fall Creek,Fall 1,Pool Drop,Bedrock to Reservoir,III(IV)-IV(V),Willamette,186.0,1040.5,202.9,7.31,27.8,great close beginners,43.9443,-122.775,43.971900939941,-122.54499816894,43.972301483154,-122.66000366211,,0,,1000.0,Upper Willamette,Not Remote,rural,Nov-Apr,,1511,Fall Creek,54.3,1709,0
1540,,580,14315950,Fish Creek,Fish 2,,Diversion Dam to N Umpqua,,Umpqua,61.6,3050.0,1064.4000244140625,5.7,185.5,,43.2112,-122.428,43.229897,-122.447661,43.296006,-122.477918,,0,,,,,,,,10398,,,1710,1
1766,,652,LGNO,Grande Ronde,Grande Ronde 00 Tony Vey to Red Bridge,Pool Drop,Tony Vey to Red Bridge,Technical,Snake,,2950.0,914.0,18.4,49.6,cattle and barbed wire,45.35,-118.19,45.10929225425638,-118.3750965625975,45.28982921943096,-118.33039160558187,,0,,400.0,Central Oregon,Not Very Remote,forest,Mar-Jun,,1512,Grande Ronde,,,0
1767,,652,Grande Ronde ac,Grande Ronde,Grande Ronde 01 Red Bridge to Hilgard Jct,Continous,Red Bridge to Hilgard Jct,,Snake,,,185.0,9.0,20.6,rifle range,,,45.28982921943096,-118.33039160558187,45.34102165186656,-118.23105364724043,,0,,1000.0,Central Oregon,Not Very Remote,forest,Mar-Jun,,3079,Grande Ronde,,,0
1768,,652,Grande Ronde ad,Grande Ronde,Grande Ronde 02 Hilgard Jct to Riverside Park,Pool Drop,Hilgard Jct to Riverside Park,,Snake,,,221.0,8.7,25.4,downtown,,,45.34102165186656,-118.23105364724043,45.34225583236252,-118.08612070246998,,0,,3000.0,Central Oregon,Not Very Remote,road/urban,Mar-Jun,,1523,Grande Ronde,,,0
1769,,654,Grande Ronde af,Grande Ronde,Grande Ronde 04 Elgin to Palmer Jct,,Elgin to Palmer Jct,,Snake,,,287.0,14.3,20.0,big water.jet boats?,,,45.56240748456561,-117.90877335638433,45.713502347482226,-117.83693563002464,,0,,4000.0,Central Oregon,Not Remote,agricultural,Jan-Dec,,3080,Grande Ronde,,,0
1770,,654,LAGO,Grande Ronde,Grande Ronde 03 Riverside Park to Elgin,Continous,Riverside Park to Elgin,,Snake,,2826.0,118.0,57.7,2.0,wildlife,45.35,-118.12,45.34225583236252,-118.08612070246998,45.56240748456561,-117.90877335638433,,0,,800.0,Central Oregon,Not Remote,agriculture,Mar-Jun,,1513,Grande Ronde,,,0
2042,,715,IMNO,Imnaha River,Imnaha aa 0,,,,Snake,622.0,1941.14,743.0,6.1,120.9,,45.5624,-116.834,45.111684,-117.119831,45.111525,-117.014984,Imnaha,0,,,,,,,,11057,,,,0
